0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:24:57 -0300] "GET /arcoiris/rest/book/getAllBooksCategory?fkcategory=3 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:24:58 -0300] "GET /arcoiris/rest/book/getAllBooksCategory?fkcategory=2 HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:24:59 -0300] "GET /arcoiris/rest/book/getAllBooksCategory?fkcategory=1 HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:25:00 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:25:01 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:25:02 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:26:24 -0300] "GET /arcoiris/pages/admin/book.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:26:24 -0300] "GET /arcoiris/pages/imgs/filter.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:26:24 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:26:24 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:26:24 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:26:25 -0300] "GET /arcoiris/pages/admin/book.html HTTP/1.1" 304 -
